"Simbolo","Probabilidad","Informacion"
"10.40.96.1","1.6666666666666667e-05","15.872674880270607"
"192.168.0.2","0.00025","11.965784284662087"
"181.44.244.1","3.3333333333333335e-05","14.872674880270607"
"192.168.0.16","3.3333333333333335e-05","14.872674880270607"
"192.168.0.1","0.0006","10.702749878828294"
"192.168.0.7","1.6666666666666667e-05","15.872674880270607"
"192.168.0.8","5e-05","14.287712379549449"
"192.168.0.9","3.3333333333333335e-05","14.872674880270607"
"192.168.0.18","1.6666666666666667e-05","15.872674880270607"
"Entropia de la fuente","1.9221125189250838"
"Entropia Máxima","3.1699250014423126"
